,Broker,Broker_Name,Buy,Sell,Turnover
1,1,Kumari Securities Pvt. Limited,78118486.8,88698924.6,166817411.39999998
2,2,Not Available,,,
3,3,Arun Securities Pvt. Limited,29698458.5,32520200.5,62218659.0
4,4,Stock Broker Opal Securities Investment Pvt. Limited,102029002.7,112093813.9,214122816.60000002
5,5,Market Securities Exchange Company Pvt. Limited,45012306.2,43373738.8,88386045.0
6,6,Agrawal Securities Pvt. Limited,128001713.6,109664741.5,237666455.1
7,7,J.F. Securities Company Pvt. Limited,70746029.23,99528121.95,170274151.18
8,8,Ashutosh Brokerage & Securities Pvt. Limited,52945025.9,73800605.0,126745630.9
9,9,Not Available,,,
10,10,Pragyan Securities Pvt. Limited,29913327.3,30850588.65,60763915.95
11,11,Malla & Malla Stock Broking Company Pvt. Limited,38481755.8,72778208.1,111259963.89999999
12,12,Not Available,,,
13,13,Thrive Brokerage House Pvt. Limited,73189869.9,63447306.8,136637176.7
14,14,Nepal Stock House Pvt. Limited,122480738.8,133520110.5,256000849.3
15,15,Not Available,,,
16,16,Primo Securities Pvt. Limited,101898328.6,76008884.8,177907213.39999998
17,17,ABC Securities Pvt. Limited,214702585.2,168419021.5,383121606.7
18,18,Sagarmatha Securities Pvt. Limited,15777369.0,15982161.8,31759530.8
19,19,Nepal Investment & Securities Trading Pvt. Limited,73560895.9,68154056.9,141714952.8
20,20,Sipla Securities Pvt. Limited,77161220.8,56342928.2,133504149.0
21,21,Midas Stock Broking Company Pvt. Limited,104761112.4,92240589.5,197001701.9
22,22,Siprabi Securities Pvt. Limited,84261603.3,134314731.3,218576334.60000002
23,23,Not Available,,,
24,24,Not Available,,,
25,25,Sweta Securities Pvt. Limited,91367166.85,89395700.2,180762867.05
26,26,Asian Securities Pvt. Limited,108320800.7,95838775.5,204159576.2
27,27,Not Available,,,
28,28,Shree Krishna Securities Limited,184288386.18,92951821.2,277240207.38
29,29,Trishul Securities And Investment Limited,87093904.0,91681657.3,178775561.3
30,30,Not Available,,,
31,31,Not Available,,,
32,32,Premier Securites Company Limited,124760760.9,139541846.4,264302607.3
33,33,Dakshinkali Investment Securities Pvt.Limited,100516734.5,166883565.8,267400300.3
34,34,Vision Securities Pvt.Limited,275430846.5,258341982.09,533772828.59000003
35,35,Kohinoor Investment and Securities Pvt.Ltd,129590888.9,116633423.8,246224312.7
36,36,Secured Securities Limited,66327339.8,99520469.56,165847809.36
37,37,Swarnalaxmi Securities Pvt.Limited,30042063.4,31921635.0,61963698.4
38,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,211762247.6,195599554.6,407361802.2
39,39,Sumeru Securities Pvt.Limited,154132571.75,118449833.1,272582404.85
40,40,Creative Securities Pvt.Limited,48520937.3,58766480.74,107287418.03999999
41,41,Linch Stock Market Limited,296370448.7,343331979.4,639702428.0999999
42,42,Sani Securities Company Limited,201322491.6,253269115.6,454591607.2
43,43,South Asian Bulls Pvt.Limited,93337739.3,148447289.1,241785028.39999998
44,44,Dynamic Money Managers Securities Pvt.Ltd,199684042.4,153577776.7,353261819.1
45,45,Imperial Securities Co .Pvt.Limited,370688020.1,354300138.1,724988158.2
46,46,Kalika Securities Pvt.Limited,32351416.8,76322371.6,108673788.39999999
47,47,Neev Securities Pvt.Ltd,63386982.4,88360476.28,151747458.68
48,48,Trishakti Securities Public Limited,134861435.64,128184083.4,263045519.04
49,49,Online Securities Pvt.Ltd,236011873.35,272676203.4,508688076.75
50,50,Crystal Kanchenjunga Securities Pvt.Ltd,78613233.0,100728380.3,179341613.3
51,51,Oxford Securities Pvt.Ltd,69648744.3,82338629.2,151987373.5
52,52,Sundhara Securities Limited,79891481.3,92695168.0,172586649.3
53,53,Investment Management Nepal Pvt. Ltd.,51387189.3,86937283.1,138324472.39999998
54,54,Sewa Securities Pvt. Ltd.,59614714.0,49058030.6,108672744.6
55,55,Bhrikuti Stock Broking Co. Pvt. Ltd.,116809928.0,148874342.3,265684270.3
56,56,Shree Hari Securities Pvt.Ltd,189811736.5,153223160.8,343034897.3
57,57,Araya Tara Investment And Securities Pvt. Ltd.,236563113.8,252162495.85,488725609.65
58,58,Naasa Securities Co. Ltd.,339633271.16,455978339.69,795611610.85
59,59,Deevyaa Securities & Stock House Pvt. Ltd,93161492.9,122348423.2,215509916.10000002
