,S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
0,1,2022120701009609,NMB,33,32,60,234.50,14070.00
1,2,2022120701009608,PCBL,56,19,10,226.90,2269.00
2,3,2022120704004170,JOSHI,29,7,10,183.50,1835.00
3,4,2022120703005527,RMDC,42,58,10,973.00,9730.00
4,5,2022120703005526,DDBL,58,49,10,1046.00,10460.00
5,6,2022120703005525,DDBL,58,54,10,1045.00,10450.00
6,7,2022120703005524,DDBL,58,22,50,1045.00,52250.00
7,8,2022120703005523,DDBL,58,57,30,1043.90,31317.00
8,9,2022120703005522,NRIC,33,7,31,688.10,21331.10
9,10,2022120703005521,NRIC,52,7,20,689.00,13780.00
10,11,2022120703005520,NRIC,56,7,10,689.00,6890.00
11,12,2022120703005519,NRIC,21,7,55,689.00,37895.00
12,13,2022120703005518,NRIC,19,7,100,689.10,68910.00
13,14,2022120701009607,RFPL,34,38,10,229.00,2290.00
14,15,2022120703005517,LICN,41,57,10,1417.90,14179.00
15,16,2022120701009606,UNL,14,42,20,18360.10,367202.00
16,17,2022120704004169,AKPL,33,40,193,347.80,67125.40
17,18,2022120704004168,AKPL,33,40,100,347.50,34750.00
18,19,2022120704004167,AKPL,33,42,50,347.00,17350.00
19,20,2022120704004166,AKPL,33,41,137,346.50,47470.50
20,21,2022120701009605,NCCB,44,42,10,181.80,1818.00
21,22,2022120704004165,AKJCL,52,39,10,169.90,1699.00
22,23,2022120703005516,NTC,52,45,25,868.60,21715.00
23,24,2022120703005515,HIDCL,55,16,100,167.00,16700.00
24,25,2022120703005514,HIDCL,55,33,100,167.00,16700.00
25,26,2022120703005513,HIDCL,55,51,100,167.00,16700.00
26,27,2022120703005512,HIDCL,55,25,200,167.00,33400.00
27,28,2022120703005511,HIDCL,55,58,96,167.00,16032.00
28,29,2022120701009604,BHL,5,1,40,247.00,9880.00
29,30,2022120701009603,BHL,57,1,10,247.00,2470.00
30,31,2022120701009602,BHL,57,35,10,246.00,2460.00
31,32,2022120701009601,BHL,57,49,10,245.00,2450.00
32,33,2022120701009600,BHL,57,21,10,245.00,2450.00
33,34,2022120703005510,MLBL,35,57,40,341.00,13640.00
34,35,2022120703005509,MLBL,59,57,55,341.00,18755.00
35,36,2022120703005508,MLBL,49,57,20,341.00,6820.00
36,37,2022120703005507,MLBL,42,57,30,341.00,10230.00
37,38,2022120703005506,MLBL,45,57,100,341.00,34100.00
38,39,2022120703005505,MLBL,58,57,143,341.10,48777.30
39,40,2022120703005504,GUFL,3,34,20,524.00,10480.00
40,41,2022120703005503,GUFL,3,34,110,524.00,57640.00
41,42,2022120703005502,GUFL,3,22,350,522.00,182700.00
42,43,2022120703005501,GUFL,3,34,20,521.00,10420.00
43,44,2022120704004164,NHPC,28,20,100,198.10,19810.00
44,45,2022120705000725,SPC,41,34,100,393.00,39300.00
45,46,2022120704004163,NGPL,6,38,100,205.90,20590.00
46,47,2022120703005500,SWBBL,17,48,10,1204.00,12040.00
47,48,2022120704004162,UPCL,25,16,210,216.00,45360.00
48,49,2022120701009599,KBL,52,49,470,184.00,86480.00
49,50,2022120701009598,KBL,52,42,30,182.50,5475.00
50,51,2022120703005499,MFIL,6,34,131,419.00,54889.00
51,52,2022120703005498,MFIL,6,58,80,418.50,33480.00
52,53,2022120704004161,HEI,58,5,13,363.50,4725.50
53,54,2022120704004160,HEI,1,5,100,363.50,36350.00
54,55,2022120701009597,SHIVM,54,28,15,551.80,8277.00
55,56,2022120703005497,MPFL,28,4,10,298.00,2980.00
56,57,2022120703005496,SFCL,20,28,10,261.90,2619.00
57,58,2022120703005495,KRBL,29,45,20,248.50,4970.00
58,59,2022120703005494,GMFIL,41,7,20,312.00,6240.00
59,60,2022120701009596,NIB,34,58,20,235.00,4700.00
60,61,2022120705000724,SAHAS,21,29,10,442.00,4420.00
61,62,2022120701009595,HDL,35,43,10,3845.00,38450.00
62,63,2022120704004159,PMHPL,33,20,10,197.00,1970.00
63,64,2022120705000723,SPC,50,25,10,395.00,3950.00
64,65,2022120704004158,MEN,40,14,200,739.00,147800.00
65,66,2022120701009594,NIB,43,58,10,235.00,2350.00
66,67,2022120701009593,SBI,5,40,15,286.00,4290.00
67,68,2022120704004157,SHPC,5,45,10,275.00,2750.00
68,69,2022120701009592,HBL,57,14,121,329.70,39893.70
69,70,2022120701009591,HBL,57,14,50,329.60,16480.00
70,71,2022120701009590,HBL,57,52,152,329.40,50068.80
71,72,2022120701009589,HBL,57,45,100,329.00,32900.00
72,73,2022120701009588,HBL,57,45,37,328.90,12169.30
73,74,2022120701009587,DORDI,57,35,10,234.00,2340.00
74,75,2022120701009586,BOKL,25,47,50,216.80,10840.00
75,76,2022120703005493,NICLBSL,25,53,10,720.00,7200.00
76,77,2022120704004156,NGPL,45,41,14,206.00,2884.00
77,78,2022120704004155,NGPL,45,21,100,206.00,20600.00
78,79,2022120704004154,NGPL,45,41,86,206.00,17716.00
79,80,2022120701009585,UHEWA,43,50,20,367.90,7358.00
80,81,2022120703005492,NRN,18,33,300,408.80,122640.00
81,82,2022120703005491,NRN,18,33,300,408.70,122610.00
82,83,2022120703005490,NRN,18,33,200,406.00,81200.00
83,84,2022120701009584,SHIVM,45,28,20,551.80,11036.00
84,85,2022120701009583,SHIVM,35,28,200,551.80,110360.00
85,86,2022120701009582,SHIVM,57,28,250,552.00,138000.00
86,87,2022120701009581,SHIVM,41,28,100,552.00,55200.00
87,88,2022120701009580,SHIVM,21,28,100,552.00,55200.00
88,89,2022120701009579,SHIVM,10,28,10,552.00,5520.00
89,90,2022120701009578,SHIVM,57,28,100,552.00,55200.00
90,91,2022120701009577,SHIVM,8,28,100,552.00,55200.00
91,92,2022120701009576,SHIVM,48,28,200,552.00,110400.00
92,93,2022120701009575,SHIVM,34,28,10,552.00,5520.00
93,94,2022120701009574,SHIVM,32,28,20,552.10,11042.00
94,95,2022120701009573,SHIVM,10,28,380,553.00,210140.00
