,S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
0,1,2022120603005851,SHINE,21,28,130,330.00,42900.00
1,2,2022120603005850,SHINE,42,28,200,330.00,66000.00
2,3,2022120603005849,SHINE,54,28,180,330.00,59400.00
3,4,2022120603005848,SHINE,45,28,50,330.00,16500.00
4,5,2022120603005847,SHINE,22,28,50,330.00,16500.00
5,6,2022120603005846,SHINE,33,28,500,330.00,165000.00
6,7,2022120603005845,SHINE,34,28,100,330.00,33000.00
7,8,2022120603005844,SHINE,29,28,100,330.00,33000.00
8,9,2022120603005843,SHINE,38,28,90,330.00,29700.00
9,10,2022120601007770,EBL,3,43,20,453.20,9064.00
10,11,2022120601007769,RFPL,20,25,80,229.40,18352.00
11,12,2022120603005842,RMDC,36,48,71,980.00,69580.00
12,13,2022120603005841,RMDC,49,48,29,980.10,28422.90
13,14,2022120603005840,RMDC,44,48,20,980.30,19606.00
14,15,2022120603005839,RMDC,29,48,40,980.40,39216.00
15,16,2022120603005838,RMDC,5,48,20,980.50,19610.00
16,17,2022120603005837,RMDC,48,48,10,982.00,9820.00
17,18,2022120601007768,NCCB,44,49,10,182.80,1828.00
18,19,2022120605000756,JBLB,11,22,30,2785.00,83550.00
19,20,2022120604004744,API,45,37,200,210.80,42160.00
20,21,2022120601007767,NABIL,17,45,150,888.00,133200.00
21,22,2022120604004743,AKPL,50,49,10,346.00,3460.00
22,23,2022120603005836,MDB,10,44,10,386.00,3860.00
23,24,2022120603005835,SADBL,32,35,20,302.30,6046.00
24,25,2022120601007766,BHL,57,10,10,249.90,2499.00
25,26,2022120601007765,BHL,57,16,10,249.00,2490.00
26,27,2022120601007764,BHL,57,58,10,247.00,2470.00
27,28,2022120604004742,AKJCL,57,19,100,171.10,17110.00
28,29,2022120604004741,MHNL,34,26,10,253.00,2530.00
29,30,2022120603005834,GUFL,38,52,10,529.90,5299.00
30,31,2022120603005833,SFCL,20,44,10,262.00,2620.00
31,32,2022120601007763,SPHL,58,6,10,356.00,3560.00
32,33,2022120603005832,SDLBSL,59,17,24,964.00,23136.00
33,34,2022120601007762,NCCB,8,49,10,182.80,1828.00
34,35,2022120601007761,CZBIL,6,16,35,181.50,6352.50
35,36,2022120605000755,SPC,50,25,10,400.00,4000.00
36,37,2022120603005831,KRBL,29,21,10,255.00,2550.00
37,38,2022120603005830,KRBL,29,34,90,254.90,22941.00
38,39,2022120603005829,ICFC,51,34,25,430.00,10750.00
39,40,2022120603005828,ICFC,14,34,350,430.00,150500.00
40,41,2022120603005827,ICFC,6,34,20,430.00,8600.00
41,42,2022120603005826,ICFC,48,34,50,430.00,21500.00
42,43,2022120603005825,ICFC,48,34,15,430.00,6450.00
43,44,2022120603005824,ICFC,41,34,50,430.00,21500.00
44,45,2022120603005823,ICFC,59,34,200,430.20,86040.00
45,46,2022120603005822,ICFC,17,34,40,431.00,17240.00
46,47,2022120603005821,ICFC,52,34,100,431.00,43100.00
47,48,2022120603005820,ICFC,58,34,50,431.00,21550.00
48,49,2022120603005819,ICFC,11,34,200,431.60,86320.00
49,50,2022120603005818,ICFC,49,34,90,433.00,38970.00
50,51,2022120603005817,MMFDB,4,49,10,893.00,8930.00
51,52,2022120601007760,HHL,49,32,10,220.00,2200.00
