,S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
0,1,2023081601028241,CITY,40,14,10,690.00,6900.00
1,2,2023081601028240,CITY,21,14,10,690.00,6900.00
2,3,2023081605003224,NRN,45,34,10,455.00,4550.00
3,4,2023081605003223,NRN,45,39,10,450.00,4500.00
4,5,2023081605003222,NRN,45,49,630,450.00,283500.00
5,6,2023081605003221,NRN,45,36,10,449.80,4498.00
6,7,2023081601028239,PRVU,45,50,300,164.00,49200.00
7,8,2023081604007396,GHL,58,56,33,181.00,5973.00
8,9,2023081604007395,GHL,22,56,100,181.00,18100.00
9,10,2023081604007394,GHL,29,56,315,181.00,57015.00
10,11,2023081603006306,HLI,51,38,100,442.20,44220.00
11,12,2023081604007393,HURJA,38,52,10,232.00,2320.00
12,13,2023081603006305,JBBL,38,16,52,315.00,16380.00
13,14,2023081603006304,JBBL,38,42,100,314.00,31400.00
14,15,2023081603006303,JBBL,38,36,57,314.00,17898.00
15,16,2023081603006302,JBBL,38,1,200,313.40,62680.00
16,17,2023081603006301,JBBL,38,16,91,313.40,28519.40
17,18,2023081601028238,USHL,57,49,10,308.00,3080.00
18,19,2023081601028237,NRM,32,43,740,278.00,205720.00
19,20,2023081601028236,NRM,32,52,10,278.00,2780.00
20,21,2023081601028235,NRM,32,28,250,278.00,69500.00
21,22,2023081601028234,SMJC,33,16,200,234.00,46800.00
22,23,2023081601028233,IHL,46,47,10,210.00,2100.00
23,24,2023081605003220,CHDC,20,19,39,1032.80,40279.20
24,25,2023081601028232,PCBL,44,56,10,185.40,1854.00
25,26,2023081601028231,KBL,44,1,10,160.40,1604.00
26,27,2023081601028230,RHGCL,34,28,50,214.00,10700.00
27,28,2023081601028229,RHGCL,34,35,10,214.00,2140.00
28,29,2023081601028228,RHGCL,34,35,10,214.00,2140.00
29,30,2023081601028227,RHGCL,34,38,10,213.90,2139.00
30,31,2023081601028226,RHGCL,34,49,10,213.90,2139.00
31,32,2023081601028225,RHGCL,34,49,10,213.00,2130.00
32,33,2023081601028224,SHIVM,26,4,500,532.00,266000.00
33,34,2023081603006300,GBLBS,34,28,10,514.00,5140.00
34,35,2023081603006299,GFCL,44,4,10,440.00,4400.00
35,36,2023081603006298,GRDBL,43,39,12,310.00,3720.00
36,37,2023081601028223,SMHL,50,22,10,347.00,3470.00
37,38,2023081601028222,NRM,42,28,10,278.00,2780.00
38,39,2023081603006297,CBBL,42,50,120,976.00,117120.00
39,40,2023081603006296,CBBL,42,59,10,975.00,9750.00
40,41,2023081603006295,CBBL,42,33,40,975.00,39000.00
41,42,2023081603006294,CBBL,42,35,20,974.00,19480.00
42,43,2023081601028221,SMJC,25,14,100,235.00,23500.00
43,44,2023081601028220,SMJC,25,29,10,235.00,2350.00
44,45,2023081601028219,SMJC,25,8,40,235.00,9400.00
45,46,2023081601028218,SMJC,25,16,10,235.00,2350.00
46,47,2023081601028217,SMJC,25,58,10,235.00,2350.00
47,48,2023081601028216,SMJC,25,45,10,235.00,2350.00
48,49,2023081601028215,SMJC,25,26,10,235.00,2350.00
49,50,2023081601028214,SMJC,25,38,10,235.00,2350.00
50,51,2023081601028213,SMJC,25,28,10,235.00,2350.00
51,52,2023081601028212,GCIL,67,42,10,501.20,5012.00
52,53,2023081601028211,SMH,14,8,30,607.00,18210.00
53,54,2023081601028210,SMH,14,49,10,605.00,6050.00
54,55,2023081601028209,SMH,14,58,10,605.00,6050.00
55,56,2023081601028208,SMH,14,42,10,605.00,6050.00
56,57,2023081601028207,SMH,14,56,10,602.00,6020.00
57,58,2023081601028206,SMH,14,45,10,602.00,6020.00
58,59,2023081601028205,SMH,14,58,10,600.00,6000.00
59,60,2023081601028204,SMH,14,34,10,600.00,6000.00
60,61,2023081601028203,SMH,14,34,10,600.00,6000.00
61,62,2023081601028202,SMH,14,42,10,600.00,6000.00
62,63,2023081601028201,SMH,14,42,10,597.00,5970.00
63,64,2023081601028200,SMH,14,42,10,597.00,5970.00
64,65,2023081601028199,SMH,14,45,10,596.00,5960.00
65,66,2023081601028198,SMH,14,34,100,596.00,59600.00
66,67,2023081601028197,SMH,14,49,10,595.00,5950.00
67,68,2023081601028196,SMH,14,32,10,590.00,5900.00
68,69,2023081601028195,SMH,14,5,10,590.00,5900.00
69,70,2023081601028194,SMH,14,20,220,590.00,129800.00
70,71,2023081601028193,UHEWA,25,17,10,293.20,2932.00
71,72,2023081601028192,EHPL,17,22,10,311.90,3119.00
72,73,2023081601028191,EHPL,17,49,114,309.90,35328.60
73,74,2023081603006293,GUFL,28,46,128,540.00,69120.00
74,75,2023081603006292,GUFL,28,49,120,540.00,64800.00
75,76,2023081603006291,GUFL,28,32,818,540.00,441720.00
76,77,2023081603006290,GUFL,28,52,225,540.00,121500.00
77,78,2023081603006289,GUFL,28,34,50,540.00,27000.00
78,79,2023081603006288,GUFL,28,22,200,540.00,108000.00
79,80,2023081603006287,GUFL,28,57,100,538.70,53870.00
80,81,2023081603006286,GUFL,28,1,200,537.00,107400.00
81,82,2023081603006285,GUFL,28,32,315,537.00,169155.00
82,83,2023081603006284,GUFL,28,17,100,537.00,53700.00
83,84,2023081603006283,GUFL,28,45,380,535.00,203300.00
84,85,2023081603006282,GUFL,28,58,500,535.00,267500.00
85,86,2023081603006281,GUFL,28,17,413,535.00,220955.00
86,87,2023081603006280,GUFL,28,57,41,534.90,21930.90
87,88,2023081603006279,GUFL,28,57,100,534.80,53480.00
88,89,2023081603006278,GUFL,28,38,150,534.00,80100.00
89,90,2023081603006277,GUFL,28,46,50,534.00,26700.00
90,91,2023081603006276,GUFL,28,17,100,532.00,53200.00
91,92,2023081603006275,GUFL,28,7,200,531.90,106380.00
92,93,2023081603006274,GUFL,28,21,800,531.00,424800.00
93,94,2023081603006273,GUFL,28,48,10,530.00,5300.00
94,95,2023081604007392,SHPC,39,22,230,353.00,81190.00
95,96,2023081604007391,SHPC,39,6,270,351.90,95013.00
96,97,2023081601028190,SAHAS,55,1,13,423.00,5499.00
97,98,2023081601028189,SMH,64,20,10,590.00,5900.00
98,99,2023081601028188,SAHAS,45,38,10,424.70,4247.00
99,100,2023081604007390,SHL,45,59,100,453.00,45300.00
100,101,2023081601028187,ILI,18,22,50,576.90,28845.00
101,102,2023081601028186,MKHL,38,22,10,257.00,2570.00
102,103,2023081603006272,RLFL,45,49,125,321.50,40187.50
103,104,2023081603006271,RLFL,52,49,125,321.60,40200.00
104,105,2023081603006270,RLFL,45,49,500,321.70,160850.00
105,106,2023081603006269,RLFL,6,49,200,321.90,64380.00
106,107,2023081603006268,RLFL,13,49,50,322.00,16100.00
107,108,2023081605003219,LEMF,49,35,500,9.02,4510.00
108,109,2023081605003218,LEMF,26,35,2000,9.02,18040.00
109,110,2023081605003217,LEMF,7,35,900,9.03,8127.00
110,111,2023081605003216,LEMF,33,35,200,9.10,1820.00
111,112,2023081603006267,PROFL,35,1,20,310.00,6200.00
112,113,2023081601028185,MKHL,51,41,10,257.00,2570.00
113,114,2023081601028184,MKHL,51,43,10,256.00,2560.00
114,115,2023081601028183,MKHL,51,58,10,255.00,2550.00
115,116,2023081601028182,MKHL,51,58,10,255.00,2550.00
116,117,2023081601028181,MKHL,51,38,10,255.00,2550.00
117,118,2023081601028180,MKHL,51,22,10,255.00,2550.00
118,119,2023081601028179,MKHL,51,58,10,255.00,2550.00
119,120,2023081603006266,NLICL,5,54,10,596.80,5968.00
120,121,2023081605003215,CHDC,32,19,28,1032.80,28918.40
121,122,2023081605003214,CHDC,32,38,22,1032.00,22704.00
122,123,2023081605003213,CHDC,32,42,10,1030.00,10300.00
