,Unnamed: 0,S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,Sector
0,0,1,2024030403000530,RLFL,25,32,500,367.0,183500.0,Finance
1,1,2,2024030401001872,ILI,22,51,300,539.0,161700.0,Promoter Shares/debenture
2,2,3,2024030401001871,GCIL,25,34,34,526.0,17884.0,Promoter Shares/debenture
3,3,4,2024030401001870,GCIL,25,3,456,525.9,239810.4,Promoter Shares/debenture
4,4,5,2024030401001869,GCIL,25,71,1510,525.0,792750.0,Promoter Shares/debenture
5,5,6,2024030404001021,TRH,85,57,10,793.5,7935.0,Hotels And Tourism
6,6,7,2024030401001868,PHCL,56,33,490,320.0,156800.0,Hydro Power
7,7,8,2024030401001867,PHCL,56,40,260,319.9,83174.0,Hydro Power
8,8,9,2024030401001866,PHCL,56,55,250,319.9,79975.0,Hydro Power
9,9,10,2024030404001020,AHPC,51,28,500,193.8,96900.0,Hydro Power
10,10,11,2024030403000529,CFCL,51,36,1000,347.0,347000.0,Finance
11,11,12,2024030405000440,NIFRA,74,62,480,217.0,104160.0,Investment
12,12,13,2024030405000439,NIFRA,74,14,1520,216.2,328624.0,Investment
13,13,14,2024030401001865,RFPL,7,53,390,350.0,136500.0,Hydro Power
14,14,15,2024030401001864,MEL,44,49,10,228.0,2280.0,Promoter Shares/debenture
15,15,16,2024030404001019,NGPL,19,72,150,318.0,47700.0,Hydro Power
16,16,17,2024030404001018,NGPL,46,72,417,318.0,132606.0,Hydro Power
17,17,18,2024030401001863,NICA,43,38,100,435.0,43500.0,Commercial Banks
18,18,19,2024030401001862,NICA,43,45,100,435.0,43500.0,Commercial Banks
19,19,20,2024030401001861,NICA,43,56,295,435.0,128325.0,Commercial Banks
20,20,21,2024030405000438,NIFRA,42,14,100,216.2,21620.0,Investment
21,21,22,2024030404001017,NHPC,33,59,400,166.0,66400.0,Hydro Power
22,22,23,2024030404001016,NHPC,49,59,265,166.0,43990.0,Hydro Power
23,23,24,2024030404001015,NHPC,42,59,797,166.0,132302.0,Hydro Power
24,24,25,2024030401001860,CKHL,26,66,330,643.0,212190.0,Promoter Shares/debenture
25,25,26,2024030404001014,CGH,58,37,85,876.9,74536.5,Hotels And Tourism
26,26,27,2024030404001013,CGH,58,91,15,874.9,13123.5,Hotels And Tourism
27,27,28,2024030401001859,DLBS,62,62,10,842.5,8425.0,Microfinance
28,28,29,2024030401001858,MANDU,84,19,500,693.0,346500.0,Promoter Shares/debenture
